title,author,litres mark,litres votes,livelib mark,livelib votes,avg_word_len,avg_sent_len,avg_words_per_par,comma_freq,colon_freq,dash_freq,A1 voc,A2 voc,B1 voc,B2 voc,C1 voc,C2 voc,unknown voc,TTR,TTR-root,TTR-log,TTR-corrected,TTR-hdd,TTR-mtld,FKD-oborneva,FRE-oborneva,FKD-soloviev,FRE-soloviev
Жестокая игра. Жизнь, Павел Коршунов,4.7,492,4.5,2,5.002771378009283,12.500727499480355,32.160809371671995,98.5361795762837,1.0465443909245815,0.0,0.69,0.1,0.1,0.05,0.02,0.01,0.03,0.2106195569389715,51.76187191186826,0.8585027999809072,36.601170635791526,0.9247148922522556,237.3298430840235,8.423919937923127,63.49333215226049,4.7110109310853066,93.30112736621174
Наказан играть 3, Евгений Александрович Осьминожкин,4.0,26,None,None,5.163218776999136,9.946886882129276,21.348612172141586,90.01779261514757,4.888383440027881,0.0,0.62,0.11,0.11,0.07,0.02,0.02,0.06,0.1912543537382508,55.37664045280388,0.8540877823746374,39.1571979835069,0.9330730977403776,311.7534995374503,7.688590033679294,62.91458141412761,4.162825484585939,97.41647710851667
Меняющийся Мир. Быстрое Течение, Сергей Кац,4.9,31,4.3,21,5.635636276787459,14.123949258749809,37.55636658556367,66.01957541414744,4.012688772605265,25.016041717503096,0.56,0.13,0.12,0.07,0.02,0.02,0.09,0.2055412788563284,62.55144909839474,0.8616578055669055,44.23055383052007,0.9420820250433868,416.7861381481224,11.473610486270967,45.33865024622304,6.82981635103072,78.64007523492565
Защита Периметра. Через смерть, Михаил Атаманов,4.9,478,4.5,153,5.078463916480843,10.77738371299959,30.64351851851852,85.54051205877334,1.4251733793671026,0.0,0.55,0.14,0.12,0.08,0.03,0.02,0.06,0.2093216497960417,58.99306526625812,0.8613898966295138,41.714396492751696,0.9280591369110484,357.789818392343,7.757975199249248,64.39303554505312,4.225269745816307,96.86143292724176
Жестокая игра. Книга 4. Тень войны, Павел Борисович Коршунов,4.7,492,4.5,2,5.425627127190218,9.900798175598633,30.691468890314304,68.62418827705672,0.614392135780662,22.459445852426423,0.58,0.11,0.12,0.08,0.02,0.01,0.09,0.2527273867246279,78.18063601644033,0.8800721880208897,55.2820578847022,0.9404646759589782,509.24295804916176,8.507507395881586,56.96742375683061,4.723706411809529,93.6051668582524
Дар. Общий файл v1.4 pre,release,4.7,401,4.6,3495,5.256442993555095,10.296830764391318,23.56184825602301,89.22796969154585,6.061690829902751,0.0,0.55,0.1,0.11,0.09,0.03,0.02,0.1,0.1678010850737499,85.90727281568537,0.8569328265632946,60.74561516121389,0.9397111613444478,425.2928891403558,8.115658546820654,60.67888511823318,4.461844044821964,95.32748836147113
Иван Грозный. Том 1, Валентин Иванович Костылев,4.1,230,4.1,30,5.43030194355618,11.720358723503375,66.0229057591623,71.7104120308713,0.4549628171297636,30.184714903754685,0.56,0.12,0.12,0.08,0.03,0.02,0.06,0.2550875766977588,81.02113118650051,0.8814284026140984,57.29059128137937,0.9422481124685216,623.2415878723858,9.5365881233385,53.75662174913941,5.460615906997864,88.3166146311753
Земли меча и магии. Друид, Владимир Михайлович Мясоедов,3.9,8,None,None,5.150704767076178,20.64242424242424,64.59393063583815,100.17136045298764,3.874236328416033,0.0,0.64,0.11,0.1,0.08,0.02,0.01,0.03,0.2351059307814492,49.70642037586544,0.8647965267420736,35.14774691628363,0.92546529174936,284.6671497532927,13.16990982950004,48.083931192667904,8.105015700967625,68.98143696194825
Война магии. Том первый. Часть первая, Николай Раздоров,4.8,35,4.6,224,4.941002792641071,13.6516625526354,42.40917266187051,111.80225057033246,1.21329152319352,0.0,0.67,0.12,0.1,0.04,0.02,0.01,0.04,0.1762335927394558,54.123514099836825,0.8484476890582651,38.27110384164034,0.9133650332799692,229.04783524710703,8.998405689026665,62.00940971795623,5.124713993085985,90.31266090837796
Великая Миссия, Милослав Князев,4.4,433,3.7,135,5.117480208289234,10.394188596491228,25.70608930987821,98.96886457642904,2.5421809059560867,0.0,0.64,0.12,0.1,0.06,0.02,0.03,0.04,0.2037290491030068,62.788222057901,0.8611901241086548,44.39797759578856,0.9301233089192952,313.7536133960434,7.665035412160169,64.11758046270512,4.154460668994856,97.405268733041
Дитё. Двойной удар, Владимир Геннадьевич Поселягин,3.8,131,3.4,43,5.334431770173215,8.852434580987081,28.69034852546917,86.87073145869435,1.849397853533515,0.0,0.6,0.11,0.09,0.09,0.02,0.04,0.07,0.2435639863570527,79.67744539326408,0.8780408238812107,56.34046194519788,0.93705296585639,429.84342488553375,7.745363448916326,60.02433765674877,4.183057328690014,97.4424000249866
Эскул. Небытие_ Варрагон (СИ), Андрей Респов,4.9,19,4.5,29,5.347169139465875,10.7711842776927,37.97043010752688,98.95022963726684,1.274721154747399,25.52254194394976,0.61,0.12,0.11,0.06,0.02,0.02,0.07,0.2517994100294985,73.30347474730988,0.8784642223208291,51.833384078359664,0.9324851220224892,395.8780033602425,8.699060200421751,57.62079002757602,4.870291556693038,92.47427032063877
Дизель решает всё, Михаил Маришин,4.8,12,None,None,4.919232946852768,8.212484872932635,21.77570591369206,83.8669200819294,3.847360360194121,0.0,0.66,0.11,0.09,0.06,0.01,0.01,0.05,0.2200963961539402,62.928327163541326,0.8661798371471116,44.497046866065695,0.9248090905112004,247.7676096416744,6.053717983137982,70.71594362233071,3.012445264351894,105.50204823113168
Игра не ради игры, Андрей Васильев,4.6,1592,4.2,351,5.033667529936665,8.806877909596036,37.59904,87.0770566819199,0.708106483182471,0.0,0.63,0.13,0.11,0.04,0.02,0.01,0.06,0.1553912014774845,53.26474027511927,0.8405188748020345,37.66385904667705,0.9292503542423582,246.5000307755126,6.622836101826348,67.96933203412551,3.412673757530225,102.69098038271008
Восьмой уровень, Дмитрий Серебряков,4.2,136,3.9,33,5.280860702151755,8.63594470046083,70.73684210526316,78.67575462512171,1.3631937682570594,34.079844206426486,0.59,0.1,0.11,0.07,0.03,0.03,0.06,0.5091765873015873,32.33171096199764,0.9186992357521216,22.861972068591967,0.9295665878735327,451.72397566662926,7.538028634361233,61.585012455422685,4.0414663310258,98.40091776798825
Долг корсара. Книга 2. В поисках манускрипта, Игорь Нокс,4.8,49,5.0,4,5.49949149930659,10.037747524752476,11.513885620145915,89.90021522207005,3.2792017217765603,1.3774212482880062,0.55,0.13,0.11,0.06,0.01,0.02,0.12,0.2549031631662323,79.73418208352676,0.8810499590679507,56.38058084362469,0.9410363901959354,269.1376681581569,8.852689427416067,54.88774687243739,4.963338503330553,91.94864873490998
В зеркале, Варлам Тихонович Шаламов,5.0,7,4.0,2,5.432660905979968,13.373202750573036,38.14133648728563,80.51672491263105,7.401397903145282,37.40639041437844,0.56,0.13,0.12,0.06,0.02,0.02,0.1,0.2837961455571577,72.07360576714761,0.8862690480722796,50.963735382515935,0.9346029214351737,492.2311741657834,10.30576266793069,52.03721603387498,6.016532636422445,84.28406832990163
Не лидер, Плотников Сергей,4.4,55,3.5,6,5.008337201413932,7.275199793761279,18.0729133354653,76.88895846378627,2.909100396576915,0.0,0.65,0.12,0.07,0.05,0.02,0.02,0.07,0.2120182609618855,50.4024087008281,0.8582481877016376,35.639884980491395,0.927874384394839,230.73604515515484,5.913264995820011,69.53143120763337,2.89965390772403,106.4138625214351
Безграничный Мир. Серые., S1,4.3,255,3.7,68,5.697766564505478,9.09017021929152,33.62902315076228,69.20758255743854,3.83146895304441,0.0,0.53,0.12,0.13,0.09,0.02,0.03,0.07,0.3269976661013818,79.80150090897045,0.898332528222861,56.42818244159744,0.9496420848087253,705.8605406530694,8.971705304945846,51.83781620294317,5.028401055284766,91.65065985857868
Один из демонов, Альтс Геймер,3.8,4,None,None,5.00806643439813,13.406805150860045,36.67553055484531,105.18326108590416,6.178982463834117,0.0,0.65,0.12,0.09,0.07,0.02,0.01,0.05,0.2120358621843584,80.30478636093291,0.8693747254799636,56.78405899755264,0.9255900397633576,247.96627751450285,9.021008841839304,61.39577215058115,5.136811515108528,90.26009614934758
Белый пудель. Лучшие повести и рассказы о животных (сборник), лович Пришвин & Борис Степанович Житков & Юрий Павлович Казаков,4.1,10,4.4,708,5.19129879735357,9.644437944818172,27.5323341659728,91.7967654856978,0.809029084996115,34.71615895418973,0.6,0.14,0.12,0.06,0.02,0.02,0.04,0.2119779433260415,66.7643032784736,0.8651639463022256,47.20949158940394,0.925218691250678,312.5855674114261,7.6723314399600895,62.381033902229234,4.146784845503207,97.56844659859952
С тенью в душе, Ярослав Коваль,4.3,7,None,None,5.275100846668735,9.0491214057508,27.11775254034668,67.88594877600113,1.3265883684731852,0.0,0.59,0.11,0.13,0.06,0.03,0.02,0.06,0.2161435372950097,65.10765741009064,0.8658153861155834,46.03806606184566,0.9438964193333248,426.44141549862127,7.527986871315463,62.02122831550028,4.0373233211083726,98.4051140106514
Книга третья. Гибель химеры, Аноним Vizivul,4.7,666,4.3,816,4.867269177478272,16.47737264028963,67.52320675105486,97.14984999210483,0.8026738249381546,0.0,0.73,0.09,0.07,0.05,0.02,0.01,0.04,0.1830906704992813,46.32302514140865,0.8465889130768377,32.75532520256498,0.9187856312134416,203.2181457437269,9.939752030189997,61.68013019298013,5.818428147983122,85.16962987918023
Преторианец. Начало Книга 1, Д,4.1,46,4.0,6,5.30444994076445,10.559547136947527,35.587847730600295,90.01479650737386,1.918667989138388,0.0,0.63,0.1,0.11,0.05,0.02,0.02,0.06,0.2447699175117766,53.9677426660837,0.8695809158799589,38.16095680451835,0.9318782120439985,351.1410360688767,8.444308756333601,58.87487916634896,4.691324771801467,93.7296894210899
Превосходство, Дмитрий Морозов,3.4,11,None,None,5.1674441137795,13.204541326067211,31.328596037898365,93.66336633663366,0.935093509350935,0.0,0.6,0.14,0.09,0.06,0.03,0.02,0.07,0.2139665956423121,57.70953180517573,0.862262209558686,40.806801278540505,0.9288856875279372,317.45057898990166,9.286078043646544,58.83775685007663,5.313593787136556,89.10056490642168
Последняя петля 6. Старая империя, Антон Емельянов и Сергей Савинов,4.5,48,None,None,5.313621161447249,13.960005297311614,36.80751827358162,107.00334503970812,2.321047960739398,0.0,0.59,0.11,0.12,0.07,0.03,0.01,0.05,0.2109354314029579,68.59391906630194,0.8654829112242983,48.50322531994331,0.936373836672014,412.08083166620287,10.11661569548212,54.71962107017444,5.896836607098072,85.01112472914487
Ассасин. Возвращение, Дмитрий Сергеевич Кружевский,4.6,782,3.9,670,5.062687203917839,7.429521802134106,28.380462079357105,82.75547941480394,2.100668950889215,0.0,0.62,0.12,0.09,0.06,0.01,0.01,0.08,0.1873268973816708,62.97388679103403,0.8560493800817752,44.52926238761412,0.9305874301338052,287.56001309965893,6.055515959142706,68.8964369348775,3.000078761556372,105.70520390842378
Архи-Vr, Анна Завадская,4.4,16,None,None,5.302983074945998,10.118660418963616,27.21581670362158,83.81326212155336,3.935952296687151,0.0,0.59,0.12,0.09,0.08,0.03,0.02,0.08,0.2388724438530266,64.8247177569054,0.8722385679283173,45.8379975144118,0.9361110189955792,428.2859643854361,8.10324531135581,60.36659771175235,4.450312845559557,95.4323831594306
Прокачаться до живого 2, Андрей Владимирович Дмитриев,4.8,14,None,None,5.277486244501337,10.414585781433608,36.15235668789809,55.38477600167042,0.226202352504466,0.0,0.62,0.11,0.11,0.05,0.02,0.02,0.07,0.1463656993051346,55.13500892235661,0.8380115428490547,38.98633868977915,0.9316144143000744,251.73625458892485,8.369777983260512,59.10721737939491,4.63795285989559,94.11273452340946
Через тернии к_. звёздам, Жрец,4.8,39,4.3,24,5.184965773143113,10.888132295719844,40.27393753200205,90.48738312434638,1.221823001335722,0.0,0.62,0.14,0.11,0.04,0.02,0.01,0.05,0.1906681075583243,53.47382171728695,0.8529897517517531,37.81170195225408,0.9218128585386298,330.3952564476559,8.37677922604977,60.18204275551642,4.651221466123706,93.94834143881872
Пираты Драконьих островов, Милослав Князев,4.4,128,3.8,32,5.531870714354699,11.953238788807973,23.263744427934625,76.74316996067748,10.267547354082604,0.0,0.58,0.14,0.13,0.07,0.01,0.02,0.05,0.2169865551049085,54.30129185682972,0.8616633077642448,38.39681169915415,0.9367106982767504,334.41857075902374,9.956345761141796,51.28555042543206,5.752455780966875,86.29542908514378
Живая игра_ Вход, Андрей Сергеевцев,3.7,8,None,None,5.049179987544115,12.016806722689076,143.9940828402367,102.67948455716916,0.0170450671575646,0.0,0.67,0.1,0.11,0.05,0.02,0.02,0.04,0.2463529895212656,54.348618605811644,0.8701923963270622,38.43027676429078,0.918164425473683,236.34006892954943,8.408484288063473,62.39179764166573,4.691303427491993,93.5150746340609
Прогрессор поневоле., Сергей Георгиевич Обатуров,3.8,7,3.5,2,5.188054655585294,8.036857781087118,20.352007469654527,84.14762741652021,1.7223198594024605,0.0,0.63,0.1,0.11,0.07,0.03,0.01,0.05,0.3289443501399275,48.56470931142572,0.8886967699760284,34.34043528046259,0.9326594584705866,326.31117374266194,6.820648354376289,64.83659353723522,3.535388519972693,101.96895759334916
Тени снов, Сергей Васильевич Лукьяненко,4.2,23,3.0,1,5.319704244509806,11.30832786885246,32.03146982599037,90.3442968018323,1.7618204241350852,0.0,0.6,0.12,0.11,0.06,0.03,0.02,0.05,0.1594599905220939,46.90319849693417,0.8384987074200807,33.165569716520835,0.9357233162952868,309.5204026399398,8.926533801887121,57.197721744414906,5.035339893376618,91.27169335879752
Монстр 4. Тёмный Океан, Сергей Бельский,4.7,86,4.4,6,5.027755234539847,9.931760934279826,27.68210659898477,120.3576341127923,0.2292526364053186,35.48125418826932,0.66,0.11,0.09,0.06,0.02,0.01,0.05,0.2371925642377426,49.54259434801696,0.8653164051345945,35.03190442105711,0.9196220670747458,276.5897214446446,7.591706970401827,63.62306936085284,4.096506649514263,97.86680505218908
Император по случаю. Книга пятая. Часть третья, Юрий Николаевич Москаленко,3.9,269,3.5,2,5.194543279785608,10.270395550061805,25.496934865900386,65.93339815264949,1.0209042294603792,0.0,0.62,0.14,0.09,0.07,0.02,0.01,0.04,0.2151261514418381,55.49545912992661,0.8616444088833027,39.241215475832,0.9246135997445918,324.5638742349112,7.936744650131274,61.85130158829182,4.338349751111933,96.1750273279353
Контакт. Новая эпоха, Никита Семин,4.5,69,4.3,756,5.230451651412654,8.491328671328672,22.42330383480826,81.09365910413031,2.7276840540365845,0.0,0.55,0.13,0.11,0.06,0.03,0.02,0.1,0.2467276195487732,60.84325109418295,0.8729549346973787,43.02267543813259,0.9392100709995316,373.7920595473595,6.889908300048319,65.312102262537,3.590190556972761,101.53204113626914
Чип Блейза. Статус, Элиан Тарс,4.6,61,3.7,3,5.171876498883118,10.166412213740458,23.947522816166884,90.12968522702651,4.395060199944288,0.0,0.62,0.1,0.1,0.04,0.03,0.02,0.09,0.2549441276149773,69.10396844144438,0.8780228434541124,48.86388469184649,0.9337120169643224,299.8491650707828,7.770623543813794,62.85397962178803,4.223038942154469,96.97202438492432
В бой идут_., Вадим Николаевич Нестеров,4.6,177,4.5,54,5.360053745765377,11.902984440098631,28.408593433319822,109.81289050199705,7.745128910544314,0.0055243430175066,0.49,0.12,0.11,0.1,0.03,0.04,0.12,0.1862943039780834,98.63680867331124,0.8660346102007237,69.74675628749844,0.9424191384393448,455.55646036828864,9.13409047126627,57.05886511715392,5.187797624900435,90.14546866247969
"Емельян Пугачев, т.2 ", Вячеслав Яковлевич Шишков,4.9,45,4.0,1,5.056780246484147,12.066666666666666,29.77769804822044,105.8744331869736,9.061444612108904,31.60538089457183,0.58,0.1,0.1,0.08,0.02,0.02,0.09,0.1911070841626865,87.05153191244258,0.8648254065691677,61.554728527965295,0.9315884547196058,305.3455067012302,8.34252506768194,63.10849016136689,4.647916740240509,93.7942233356837
Поднятая целина, Михаил Шолохов,4.7,206,4.4,2354,5.354044535332879,12.796521739130435,250.76487252124645,78.45029239766082,0.0,0.0,0.61,0.14,0.12,0.04,0.02,0.01,0.06,0.1423633077270673,42.35637382940733,0.82886702159461,29.950479161246346,0.9319828814349256,233.082583518166,10.027548876972386,52.67958371969107,5.81560907302879,85.74026323694197
Дикарь. Часть 3. Гости, Хайдарали Усманов,4.8,3955,4.3,856,5.217424186375332,8.478874218207089,27.785941765241127,41.78887113412488,0.5663544974615182,0.0,0.6,0.13,0.11,0.07,0.01,0.01,0.06,0.176680557033738,61.74903320170365,0.8520093210224332,43.663160108637925,0.9294449143364906,292.54565677849973,7.114146758027143,63.69655569488302,3.743869960932104,100.48690337810788
Свой дом. Дилогия, Семён Викторович Иванов,4.0,22,None,None,4.701134136096331,7.84813210611803,16.312008978675646,47.59049280418665,11.911251635412125,0.0,0.67,0.1,0.09,0.06,0.02,0.01,0.05,0.2310100454107609,39.38568845320925,0.8574255109790536,27.84988738696496,0.911035779469989,174.48148710572332,5.191210752067146,75.97453939841654,2.4141434079256623,109.63392261133696
Кровавый Эльф. Книга 2, АриТорв,4.5,2,3.5,2,5.334023107432316,11.117267552182163,21.35771180304128,84.45148062598946,1.3236095611325944,75.47169811320755,0.62,0.1,0.11,0.04,0.03,0.03,0.08,0.2813358196304458,48.31691868583343,0.8767771872909078,34.165220848791826,0.9383245554910477,270.2054307873059,8.95411046080459,56.52767743998234,5.050691079499254,91.19835708372796
Экспансия, Николай Басов,4.6,9,3.7,9,5.450401543362196,9.21835997937081,17.8597609561753,84.51295323196908,6.697384872303778,0.0,0.5,0.12,0.16,0.09,0.03,0.03,0.08,0.254015347550638,76.05882936989123,0.8798323056572441,53.78171401656064,0.942670531029294,552.7202359222388,8.090891156871525,58.42093533442011,4.42653020259147,95.72821045647292
Война Теней, Николай Трой,4.6,62,3.6,19,5.756113096712552,9.185570360740982,19.61743731308949,73.91256246196964,2.51691774380912,42.08692124721111,0.47,0.14,0.17,0.06,0.04,0.03,0.1,0.2250900008208544,65.73129061380357,0.8686542537686224,46.47904132916416,0.9494934362999682,488.3464465358119,9.056453344123614,51.48870774359142,5.088450383049556,91.22504743952632
Падение Предела, Эрик Ниланд,4.2,48,4.2,64,4.913632283495297,7.020174482006543,33.75610820244328,67.40837026498674,0.3070530075842093,0.0,0.61,0.12,0.11,0.07,0.02,0.02,0.07,0.229471752252194,63.82821859871583,0.869231459811146,45.13336620220928,0.9180375951700114,253.0465020075605,5.426128325441756,72.45279570281551,2.5613719879537555,108.75320569559209
Последний храм. Наследник, Богданов Арт,4.5,80,3.0,4,5.39909620560971,16.045736172130223,45.43079860006363,94.57352746601624,1.420903971052677,34.23975884901026,0.62,0.13,0.1,0.06,0.02,0.02,0.05,0.1887050122908627,71.30677777166275,0.8595035013725112,50.4215061069049,0.9376186841222576,300.19132773752847,11.79334418066592,47.463647138406486,7.082278026972917,76.63129577552786
Власть демиурга, Юрий Львович Киселев,4.0,9,None,None,5.301030899569545,11.85790841182202,25.300034447123664,112.4978934951129,0.7688742837883384,0.0105325244354566,0.59,0.14,0.09,0.09,0.01,0.03,0.05,0.2269150123900552,61.49606163399946,0.867624129218347,43.4842821976669,0.9334836663822288,321.39688313300235,8.983271953371759,58.093308377487006,5.084043282941023,90.85451398559238
Проект Данте. Смертельное сафари, Сергей Извольский,4.5,1550,4.3,243,5.354064610088707,10.780383795309168,28.35594275046671,80.91260661498525,5.271150823782867,0.0353175934591816,0.62,0.11,0.1,0.06,0.03,0.03,0.05,0.2238193469101123,67.5682398636554,0.8689227793170475,47.77796060042994,0.93739785610073,357.7289061406738,8.610403354371432,58.21433883130285,4.809191398293494,92.89277615277418
Черным по белому, Макар Ютин,4.2,25,3.8,4,5.5586561957880205,12.358061552595316,42.9436507936508,103.59754746251016,1.2853660338331978,0.0,0.55,0.13,0.14,0.07,0.02,0.01,0.08,0.2413461716165517,56.140356742191706,0.8695701597312607,39.69722695063568,0.9416856120347668,406.0213851453334,9.91084404599387,52.55509899905422,5.7283604714367495,86.39723472028038
Джим. Возрождение Империи, Евгений Катрич,4.2,1116,4.2,1038,4.893959427297798,8.274103831891225,17.559244791666668,36.67982760179632,0.0,0.0,0.62,0.1,0.11,0.06,0.01,0.01,0.09,0.3152274665381335,51.76933378465684,0.8868454981353666,36.60644697664068,0.920416315162029,247.55924555968764,6.075226520258315,70.69009459632545,3.0281577851795856,105.38668246320071
Странник. Новый Дом, Иван Юрьевич Власов,4.4,443,4.2,189,5.120232191685592,7.941559633027523,36.72081218274111,74.353202774006,6.780093499676488,0.0,0.63,0.13,0.1,0.08,0.02,0.02,0.02,0.2345405953368353,69.10315854617622,0.8724765906197334,48.86331200941032,0.9271586112700856,412.2817628769179,6.407935117136116,67.54893910370342,3.250574661169628,103.92311597351132
Шустрый. Рождение воина, Алексей Михайлович Трефилов,3.8,51,3.2,8,5.205605005728386,8.003507951356408,26.286699885013416,37.1567237692511,0.7568294851156868,0.0,0.61,0.12,0.12,0.06,0.02,0.02,0.06,0.2101280219299524,55.02867365321959,0.8599076534494061,38.91114829989308,0.9293855399439912,282.5802950126459,6.832367415646381,64.62894147940227,3.5424925127861417,101.92876540609385
Свой дом. Обретение, Семён Викторович Иванов,4.0,22,None,None,4.953949839228296,13.797676395579485,33.4779247551967,111.9102896152423,10.429076183080095,18.39014096532993,0.66,0.11,0.09,0.03,0.03,0.01,0.06,0.172264271969211,76.04545752381541,0.8556068052216158,53.77225869352344,0.9105219556125066,206.31600956874416,9.116724415183503,61.45961550705272,5.208080588553676,89.72575955804383
Сборник _Дневник Сатаны_, Леонид Николаевич Андреев,4.1,64,4.2,36,5.484852800167089,13.60358385973959,27.2835782418149,82.97481436117278,3.276429610349843,36.52300390415678,0.6,0.13,0.1,0.07,0.02,0.03,0.04,0.2470306993092891,80.36398822073265,0.879145300857561,56.82592103407588,0.933545276572052,491.550920839778,10.620672648057184,50.29552736159067,6.236320573172092,82.75460475011056
Игрун. Дилогия (СИ), Константин Читатель,5.0,2,None,None,5.354086073500967,10.518549747048905,21.542972118424835,74.29693702728679,1.0342233922527266,0.07312690652292,0.58,0.11,0.1,0.09,0.02,0.03,0.07,0.2611677429684581,71.49893286521555,0.8803878635298414,50.55738027659562,0.9376812122536016,410.3556727023937,8.647589102136227,57.33970362291248,4.830109144731976,92.79050347254216
Вы призвали не того_. Книга 8. Том 1, Тимур Аскарович Айтбаев,4.5,102,4.4,1934,5.030040893362693,10.258790737564322,31.31983012087553,108.99113063796877,1.094271938918234,27.866910203880146,0.68,0.11,0.1,0.05,0.02,0.02,0.02,0.188974653176176,58.51199698859014,0.8547485894540036,41.37422985139894,0.9169392733546352,256.3920248279563,7.587189164973839,64.36379664504321,4.098741193044228,97.80493865359946
Император по случаю. Книга четвертая, Юрий Николаевич Москаленко,3.9,269,3.5,2,4.9106697596024365,9.728553353015606,44.37658349328215,93.81096304437423,0.6250858634427806,33.69968402253057,0.66,0.13,0.09,0.04,0.02,0.01,0.06,0.1431821524035259,48.68214237873228,0.8332772038417959,34.4234729986906,0.9219330589824808,215.61441447039272,6.758778334552744,69.10470819407409,3.5217592188812787,101.80974882471877
Девятый уровень. Часть первая, Дмитрий Dmitro Серебряков,4.8,59,4.4,3,5.1065365456948255,12.554637865311308,33.136401673640165,95.6386261112186,1.9754997301508104,0.0,0.64,0.15,0.09,0.05,0.02,0.01,0.04,0.2090004545684125,58.81645623476787,0.8612178090735428,41.58951504896615,0.9237000445789152,311.60500771606166,8.80041985315307,60.88331612966809,4.969812734191416,91.53432103149636
Последняя петля, Сергей Савинов & Антон Емельянов,4.4,176,4.2,31,5.209999076114931,11.520454545454545,25.507357859531773,86.16043451013161,4.188426989763944,0.0,0.57,0.12,0.1,0.07,0.02,0.03,0.08,0.2418214955354216,66.78258636920091,0.8737274506515784,47.222419686838265,0.9331922553254332,367.9701660976911,8.645567382985924,59.67229678949892,4.846172403145458,92.52850024898616
Дровосек 2. Дорога к славе., Михаил Б,3.8,4,None,None,5.22780752793368,6.785857180133948,19.059970745977573,76.26724538831189,3.7009765927763136,0.0,0.58,0.09,0.1,0.06,0.03,0.02,0.12,0.241123503530134,67.42151206069238,0.8737491168009318,47.674208375966174,0.930132367320562,297.07616520739793,6.15924935881268,66.68446701549593,3.060146533126668,105.3932167486834
Отрицательный рейтинг, Александр Мазин,4.7,562,4.3,21,5.401111277969665,9.79527559055118,20.13932584269663,82.59504811077213,1.041422201361183,0.0,0.56,0.14,0.1,0.08,0.03,0.02,0.08,0.2835304619504575,65.74728452869118,0.8842841618310412,46.49035073483892,0.9382125213431504,431.7419736237199,8.274670999746302,58.43147676493845,4.5625278598307215,94.71537040111096
Вий. Рассказы о вирт-реальности, Юрий Молчан,4.9,6,None,None,5.311883892111218,12.452054794520548,53.67128987517337,73.67398823747641,0.654685914432551,15.603347627309132,0.63,0.13,0.1,0.06,0.02,0.03,0.04,0.2220843993074398,61.78338494527696,0.8663282727022177,43.68745045946419,0.9363953755894622,391.1774216548898,9.589933103995175,54.99272991586472,5.509373061328185,87.87823989219922
Кингчесс, Сергей Ткачев,4.7,63,4.0,1,4.86124243462373,10.948765893792071,37.30199068191444,69.35467323278958,1.7534532769989837,31.19841069979574,0.7,0.11,0.07,0.05,0.02,0.02,0.03,0.1733053253094129,51.4311110146142,0.8460637877222877,36.36728736239184,0.9084133718765488,202.42411516942747,7.221560733988053,68.56389587839159,3.859948890274508,99.32571499965816
Иностранец. Тернистый путь, Игорь Витальевич Шелег,4.6,9,None,None,5.414082578366095,15.022723897222637,34.99550794747754,113.70433584391589,2.8655089801606564,26.54901899378357,0.55,0.12,0.11,0.08,0.03,0.05,0.07,0.2110252080926567,67.15676248417772,0.8650156425638972,47.4870021550964,0.940239597790996,405.1457129045783,11.10308652496952,50.00696537839511,6.590927923144674,80.13297367867767
Некомант 4, Сергей Геннадьевич Кириллов,4.8,9,4.9,6,5.152090062403964,7.184169278996865,29.270491803278688,73.36120339834986,2.7216221848986746,0.0,0.64,0.11,0.1,0.06,0.02,0.02,0.05,0.2466162606179408,62.52488275331348,0.8735502481650957,44.211768587761775,0.9307611077978248,313.3679462232324,6.377352717714864,66.01608847860672,3.2164183476816124,104.27094200901962
Магия невозможного, Антон Волк,4.0,8,None,None,5.079340883142531,13.469475779694758,31.29283788987293,108.7257651625282,5.477158925713279,0.0097893814579325,0.62,0.11,0.1,0.07,0.03,0.01,0.06,0.1909619466576429,76.98751132722711,0.8620110353824286,54.43839132615842,0.9316308980897676,267.8695578312488,9.299557214282778,59.40819068052434,5.327856504216845,88.95957544232348
Слепой музыкант (сборник), Владимир Галактионович Короленко,4.5,16,4.6,10,5.319484276415871,16.8659793814433,49.29627367135003,104.72533845261664,1.3098166256724058,0.0499930009798628,0.63,0.11,0.1,0.06,0.02,0.03,0.06,0.2578750402736127,73.25557718081185,0.8800474521881916,51.799515384286565,0.9263475872283636,395.4242022932432,11.805073709934458,49.333874179841445,7.105030879772597,76.34773968536625
Осколки клана. Том 1, Александр Игоревич Шапочкин & Алексей Викторович Широков,4.4,62,3.8,5,4.865412625670539,11.084507042253522,41.97930524759793,102.48130054373328,0.331208081477188,0.0,0.68,0.1,0.09,0.04,0.03,0.02,0.04,0.1943730413042712,46.32362654196188,0.8503756544822804,32.75575045697438,0.9110722378706076,223.2722732192424,7.414846362176096,67.44553337150815,3.994478993077077,98.39273828074644
Противостояние. Книга первая, Тайниковский,4.6,1710,4.5,7249,5.358585211064457,11.32220124872949,21.01338174971421,95.35831903857802,5.957986144691768,21.13672572903252,0.55,0.1,0.12,0.09,0.03,0.03,0.06,0.1686101955262568,94.25445661655976,0.8593013239095185,66.64796543062266,0.9444960711118858,529.5596817261662,8.84239771326774,57.841679830748205,4.977962610713002,91.65941233518194
